DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTJTONUNKWN,PARTJTONPRE1940,PARTJTON194049,PARTJTON195059,PARTJTON196069,PARTJTON197079,PARTJTON198089,PARTJTON199099,PARTJTON200009,PARTJTON201019,PARTJTON202029,PARTJTONTOTAL,PARTJTOFFUNKWN,PARTJTOFFPRE1940,PARTJTOFF194049,PARTJTOFF195059,PARTJTOFF196069,PARTJTOFF197079,PARTJTOFF198089,PARTJTOFF199099,PARTJTOFF200009,PARTJTOFF201019,PARTJTOFF202029,PARTJTOFFTOTAL,PARTJTUNKWNTOT,PARTJTPRE1940TOT,PARTJT194049TOT,PARTJT195059TOT,PARTJT196069TOT,PARTJT197079TOT,PARTJT198089TOT,PARTJT199099TOT,PARTJT200009TOT,PARTJT201019TOT,PARTJT202029TOT,PARTJTTOTAL,PARTJGONAUNKWN,PARTJGONAPRE1940,PARTJGONA194049,PARTJGONA195059,PARTJGONA196069,PARTJGONA197079,PARTJGONA198089,PARTJGONA199099,PARTJGONA200009,PARTJGONA201019,PARTJGONA202029,PARTJGONATOTAL,PARTJGONBUNKWN,PARTJGONBPRE1940,PARTJGONB194049,PARTJGONB195059,PARTJGONB196069,PARTJGONB197079,PARTJGONB198089,PARTJGONB199099,PARTJGONB200009,PARTJGONB201019,PARTJGONB202029,PARTJGONBTOTAL,PARTJGONCUNKWN,PARTJGONCPRE1940,PARTJGONC194049,PARTJGONC195059,PARTJGONC196069,PARTJGONC197079,PARTJGONC198089,PARTJGONC199099,PARTJGONC200009,PARTJGONC201019,PARTJGONC202029,PARTJGONCTOTAL,PARTJGOFFUNKWN,PARTJGOFFPRE1940,PARTJGOFF194049,PARTJGOFF195059,PARTJGOFF196069,PARTJGOFF197079,PARTJGOFF198089,PARTJGOFF199099,PARTJGOFF200009,PARTJGOFF201019,PARTJGOFF202029,PARTJGOFFTOTAL,PARTJGUNKWNTOT,PARTJGPRE1940TOT,PARTJG194049TOT,PARTJG195059TOT,PARTJG196069TOT,PARTJG197079TOT,PARTJG198089TOT,PARTJG199099TOT,PARTJG200009TOT,PARTJG201019TOT,PARTJG202029TOT,PARTJGTOTAL,PARTJUNKWNTOT,PARTJPRE1940TOT,PARTJ194049TOT,PARTJ195059TOT,PARTJ196069TOT,PARTJ197079TOT,PARTJ198089TOT,PARTJ199099TOT,PARTJ200009TOT,PARTJ201019TOT,PARTJ202029TOT,PARTJTOTAL
2/2/2026,2024,20251164,46780,189,"BBT ALATENN, LLC",Natural Gas,INTERSTATE,ALABAMA,6.59,,,140.61,53.53,13.31,1.97,15.4,0.74,0,0.88,233.03,,,,,,,,,,,,,6.59,,,140.61,53.53,13.31,1.97,15.4,0.74,0,0.88,233.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,6.59,0,0,140.61,53.53,13.31,1.97,15.4,0.74,0,0.88,233.03
2/2/2026,2024,20251164,46780,189,"BBT ALATENN, LLC",Natural Gas,INTERSTATE,MISSISSIPPI,0.1,0,0,27.9,6.56,0,0,0,0,0,0,34.56,,,,,,,,,,,,,0.1,0,0,27.9,6.56,0,0,0,0,0,0,34.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,27.9,6.56,0,0,0,0,0,0,34.56
2/2/2026,2024,20251164,46780,189,"BBT ALATENN, LLC",Natural Gas,INTERSTATE,TENNESSEE,0,0,0,16.393,5.974,0,0,0,0,0,0,22.367,,,,,,,,,,,,,0,0,0,16.393,5.974,0,0,0,0,0,0,22.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.393,5.974,0,0,0,0,0,0,22.367
2/2/2026,2024,20250790,46879,207,"ALASKA PIPELINE COMPANY, LLC",Natural Gas,INTRASTATE,ALASKA,0,0,0,0,99.1,107.676,117.676,10.283,7.552,42.684,5.096,390.067,,,,,,,,,,,,,0,0,0,0,99.1,107.676,117.676,10.283,7.552,42.684,5.096,390.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.1,107.676,117.676,10.283,7.552,42.684,5.096,390.067
2/2/2026,2024,20251421,46537,270,"ALEXANDRIA MUNICIPLE GAS SYSTEM, CITY OF",Natural Gas,INTRASTATE,LOUISIANA,0,0,0,0,0,0,0,0,0.11,0,0,0.11,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0.11,0,0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0.11
2/2/2026,2024,20251345,46432,288,"ALGONQUIN GAS TRANSMISSION, LLC",Natural Gas,INTERSTATE,CONNECTICUT,0,0,0,157.25,141.33,3.68,15.25,41.13,5.15,23.07,0.23,387.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.25,141.33,3.68,15.25,41.13,5.15,23.07,0.23,387.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.25,141.33,3.68,15.25,41.13,5.15,23.07,0.23,387.09
2/2/2026,2024,20251345,46432,288,"ALGONQUIN GAS TRANSMISSION, LLC",Natural Gas,INTERSTATE,MASSACHUSETTS,0,0,0,146.9,144.58,16.99,26.57,49.23,55.19,8.78,0.87,449.11,0,0,0,0,0,0,0,0,5.99,0,0,5.99,0,0,0,146.9,144.58,16.99,26.57,49.23,61.18,8.78,0.87,455.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.9,144.58,16.99,26.57,49.23,61.18,8.78,0.87,455.1
2/2/2026,2024,20251345,46432,288,"ALGONQUIN GAS TRANSMISSION, LLC",Natural Gas,INTERSTATE,NEW JERSEY,0,0,0,51.75,28.45,0.35,46.26,8.14,0.65,0.19,0.1,135.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.75,28.45,0.35,46.26,8.14,0.65,0.19,0.1,135.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.75,28.45,0.35,46.26,8.14,0.65,0.19,0.1,135.89
2/2/2026,2024,20251345,46432,288,"ALGONQUIN GAS TRANSMISSION, LLC",Natural Gas,INTERSTATE,NEW YORK,0,0,0,19.15,42.05,0,0.23,0.85,4.98,20.07,0.11,87.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.15,42.05,0,0.23,0.85,4.98,20.07,0.11,87.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.15,42.05,0,0.23,0.85,4.98,20.07,0.11,87.44
2/2/2026,2024,20251345,46432,288,"ALGONQUIN GAS TRANSMISSION, LLC",Natural Gas,INTERSTATE,OCS-Atlantic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,0,0,3.58,0,0,0,0,0,0,0,0,3.58,0,0,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,0,0,3.58
