DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTK20LESSC1,PARTK20LESSC2,PARTK20LESSC3,PARTK20LESSC4,PARTK20LESSTOT,PARTK2029C1,PARTK2029C2,PARTK2029C3,PARTK2029C4,PARTK2029TOT,PARTK3040C1,PARTK3040C2,PARTK3040C3,PARTK3040C4,PARTK3040TOT,PARTK4150C1,PARTK4150C2,PARTK4150C3,PARTK4150C4,PARTK4150TOT,PARTK5160C1,PARTK5160C2,PARTK5160C3,PARTK5160C4,PARTK5160TOT,PARTK6172C1,PARTK6172C2,PARTK6172C3,PARTK6172C4,PARTK6172TOT,PARTK7380C1,PARTK7380C2,PARTK7380C3,PARTK7380C4,PARTK7380TOT,PARTK80MOREC1,PARTK80MOREC2,PARTK80MOREC3,PARTK80MOREC4,PARTK80MORETOT,PARTKUNKNOWNC1,PARTKUNKNOWNC2,PARTKUNKNOWNC3,PARTKUNKNOWNC4,PARTKUNKNOWNTOT,PARTKNONSTEELC1,PARTKNONSTEELC2,PARTKNONSTEELC3,PARTKNONSTEELC4,PARTKNONSTEELTOT,PARTKONC1TOT,PARTKONC2TOT,PARTKONC3TOT,PARTKONC4TOT,PARTKONTOTAL,PARTKOFFLESS50,PARTKOFF5172,PARTKOFF72MORE,PARTKOFFUNKNOWN,PARTKOFFNONSTEEL,PARTKOFFTOTAL,PARTKC1TOT,PARTKC2TOT,PARTKC3TOT,PARTKC4TOT,PARTKTOTAL
2/2/2026,2022,20231190,42646,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,RHODE ISLAND,1.05,0.03,0.21,0,1.29,2.27,3.17,3.04,0,8.48,4.83,2.07,6.24,0,13.14,4.24,0.39,16.42,0,21.05,7.78,6.11,1.56,0,15.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0,0.71,0,0,0,0,0,20.17,11.77,28.18,0,60.12,0,0,0,0,0,0,20.17,11.77,28.18,0,60.12
2/2/2026,2022,20230003,41385,383,AMARILLO NATURAL GAS INC,Natural Gas,INTRASTATE,KANSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71,0,0.01,0,1.72,1.71,0,0.01,0,1.72,0,0,0,0,0,0,1.71,0,0.01,0,1.72
2/2/2026,2022,20230003,41385,383,AMARILLO NATURAL GAS INC,Natural Gas,INTRASTATE,TEXAS,18.853,2.199,0,0,21.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.853,2.199,0,0,21.052,0,0,0,0,0,0,18.853,2.199,0,0,21.052
2/2/2026,2022,20230857,46982,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,ARKANSAS,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0.003,6.348,0.182,0.339,0,6.869,1.333,0.891,0.958,0,3.182,54.037,0.287,0,0,54.324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.721,1.36,1.297,0,64.378,0,0,0,0,0,0,61.721,1.36,1.297,0,64.378
2/2/2026,2022,20230857,46982,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,ILLINOIS,0.001,0,0,0,0.001,7.816,0.893,0.619,0,9.328,2.373,1.639,1.933,0,5.945,11.214,5.283,16.804,0,33.301,51.081,7.827,1.836,0,60.744,484.609,39.947,2.442,0,526.998,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0.004,0,0,0,0,0,557.098,55.589,23.634,0,636.321,0,0,0,0,0,0,557.098,55.589,23.634,0,636.321
2/2/2026,2022,20230857,46982,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,INDIANA,1.957,0.307,0,0,2.264,51.287,1.551,0.142,0,52.98,3.455,0.8,6.593,0,10.848,9.22,12.678,34.24,0,56.138,74.726,38.284,3.15,0,116.16,622.743,112.814,2.346,0,737.903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763.388,166.434,46.471,0,976.293,0,0,0,0,0,0,763.388,166.434,46.471,0,976.293
2/2/2026,2022,20230857,46982,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,IOWA,0.616,0,0.004,0,0.62,92.157,3.697,3.194,0,99.048,81.778,6.686,4.099,0,92.563,72.592,2.498,0,0,75.09,17.639,0,0,0,17.639,316.601,0,0,0,316.601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581.383,12.881,7.297,0,601.561,0,0,0,0,0,0,581.383,12.881,7.297,0,601.561
2/2/2026,2022,20230857,46982,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,KANSAS,0,0,0,0,0,2.678,0,0,0,2.678,8.142,0,0,0,8.142,1.777,0.238,0,0,2.015,26.733,0.127,0,0,26.86,788.325,4.082,0,0,792.407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,827.655,4.447,0,0,832.102,0,0,0,0,0,0,827.655,4.447,0,0,832.102
2/2/2026,2022,20230857,46982,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,KENTUCKY,0,0,0,0,0,3.8,0,0,0,3.8,0.002,0,0,0,0.002,1.886,0.057,0,0,1.943,11.873,5.994,0,0,17.867,247.551,6.959,0,0,254.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.112,13.01,0,0,278.122,0,0,0,0,0,0,265.112,13.01,0,0,278.122
2/2/2026,2022,20230857,46982,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,LOUISIANA,0,0,0,0,0,0.597,0,0,0,0.597,11.921,1.693,2.429,0,16.043,36.261,5.757,2.293,0,44.311,51.243,13.443,6.283,0,70.969,756.694,64.687,1.022,0,822.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,856.716,85.58,12.027,0,954.323,0,0,0,0,0,0,856.716,85.58,12.027,0,954.323
2/2/2026,2022,20230857,46982,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,MICHIGAN,0.589,0.032,0,0,0.621,104.47,13.043,3.765,0,121.278,90.423,24.306,11.218,0,125.947,134.779,24.856,37.17,0,196.805,195.298,101.936,22.691,0,319.925,444.417,100.318,0.475,0,545.21,0.003,0,0,0,0.003,0.433,0,0,0,0.433,0,0,0,0,0,0,0,0,0,0,970.412,264.491,75.319,0,1310.222,0,0,0,0,0,0,970.412,264.491,75.319,0,1310.222
2/2/2026,2022,20230857,46982,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,MISSISSIPPI,0,0,0,0,0,0,0,0,0,0,1.545,0.803,1.236,0,3.584,7.884,2.9,7.129,0,17.913,8.596,7.226,2.747,0,18.569,297.232,35.662,0.001,0,332.895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315.257,46.591,11.113,0,372.961,0,0,0,0,0,0,315.257,46.591,11.113,0,372.961
2/2/2026,2022,20230857,46982,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,MISSOURI,1.798,0,0,0,1.798,50.555,0.856,0.241,0,51.652,4.239,0.378,0.436,0,5.053,6.187,0.775,0.998,0,7.96,4.254,0,0.514,0,4.768,200.976,0,0,0,200.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268.009,2.009,2.189,0,272.207,0,0,0,0,0,0,268.009,2.009,2.189,0,272.207
2/2/2026,2022,20230857,46982,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,NEBRASKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235,0,0,0,0.235,0.538,0,0,0,0.538,7.869,0,0,0,7.869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.642,0,0,0,8.642,0,0,0,0,0,0,8.642,0,0,0,8.642
