DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTLTONC1,PARTLTONC2,PARTLTONC3,PARTLTONC4,PARTLTONTOT,PARTLTRONHCA,PARTLTRON192MILES,PARTLTRONCLASS34,PARTLTRONCLASS12,PARTLTOFFC1,PARTLTOFFTOT,PARTLTROFFHCA,PARTLTROFF192MILES,PARTLTROFFCLASS34,PARTLTROFFCLASS12,PARTLTC1TOT,PARTLTC2TOT,PARTLTC3TOT,PARTLTC4TOT,PARTLTTOTAL,PARTLTRHCATOTAL,PARTLTR192MILESTOTAL,PARTLTRCLASS34TOTAL,PARTLTRCLASS12TOTAL,PARTLGONAC2,PARTLGONAC3,PARTLGONAC4,PARTLGONATOT,PARTLGONBC2,PARTLGONBC3,PARTLGONBC4,PARTLGONBTOT,PARTLGONCC1,PARTLGONCTOT,PARTLGOFFC1,PARTLGOFFTOT,PARTLGC1TOT,PARTLGC2TOT,PARTLGC3TOT,PARTLGC4TOT,PARTLGTOTAL,PARTLC1TOT,PARTLC2TOT,PARTLC3TOT,PARTLC4TOT,PARTLTOTAL
2/2/2026,2021,20220394,46877,207,ALASKA PIPELINE CO,Natural Gas,INTRASTATE,ALASKA,212.187,48.921,126.551,0,387.659,40.091,76.267,33.113,238.188,0,0,,,,,212.187,48.921,126.551,0,387.659,40.091,76.267,33.113,238.188,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,212.187,48.921,126.551,0,387.659
2/2/2026,2021,20220103,39934,270,"ALEXANDRIA MUNICIPLE GAS SYSTEM, CITY OF",Natural Gas,INTRASTATE,LOUISIANA,0.11,0,0,0,0.11,,,,,0,0,,,,,0.11,0,0,0,0.11,,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.11,0,0,0,0.11
2/2/2026,2021,20220859,40719,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,CONNECTICUT,122.98,85.33,178.74,0,387.05,115.47,93.01,29.83,148.74,0,0,0,,,,122.98,85.33,178.74,0,387.05,115.47,93.01,29.83,148.74,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,122.98,85.33,178.74,0,387.05
2/2/2026,2021,20220859,40719,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,MASSACHUSETTS,145.81,80.33,212.16,12.81,451.11,114.46,130.37,12.2,194.08,5.99,5.99,0,,,5.99,151.8,80.33,212.16,12.81,457.1,114.46,130.37,12.2,200.07,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,151.8,80.33,212.16,12.81,457.1
2/2/2026,2021,20220859,40719,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,NEW JERSEY,45.71,10.26,79.9,0,135.87,62.64,38.67,0,34.56,0,0,,,,,45.71,10.26,79.9,0,135.87,62.64,38.67,0,34.56,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,45.71,10.26,79.9,0,135.87
2/2/2026,2021,20220859,40719,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,NEW YORK,22.38,9.48,55.6,0,87.46,48.2,21.74,0.4,17.12,0,0,0,,,,22.38,9.48,55.6,0,87.46,48.2,21.74,0.4,17.12,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,22.38,9.48,55.6,0,87.46
2/2/2026,2021,20220859,40719,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,OCS-Atlantic,0,0,0,0,0,0,0,0,0,3.58,3.58,0,0,0,3.58,3.58,0,0,0,3.58,0,0,0,3.58,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,3.58,0,0,0,3.58
2/2/2026,2021,20220859,40719,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,RHODE ISLAND,20.17,11.77,28.18,0,60.12,13.32,17.16,3.06,26.58,0,0,0,,,,20.17,11.77,28.18,0,60.12,13.32,17.16,3.06,26.58,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,20.17,11.77,28.18,0,60.12
2/2/2026,2021,20220881,40741,383,AMARILLO NATURAL GAS INC,Natural Gas,INTRASTATE,KANSAS,1.71,0,0.01,0,1.72,,,,1.72,0,0,,,,,1.71,0,0.01,0,1.72,,,,1.72,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1.71,0,0.01,0,1.72
2/2/2026,2021,20220881,40741,383,AMARILLO NATURAL GAS INC,Natural Gas,INTRASTATE,TEXAS,14.194,0.4,0,0,14.594,0,0,0,14.594,0,0,,,,,14.194,0.4,0,0,14.594,0,0,0,14.594,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,14.194,0.4,0,0,14.594
2/2/2026,2021,20220268,40107,402,"MARKWEST ENERGY EAST TEXAS GAS COMPANY, L.L.C.",Natural Gas,INTRASTATE,TEXAS,0,0,0,0,0,0,,,,0,0,,,,,0,0,0,0,0,0,,,,24.73,0.25,0,24.98,0,0,0,0,,,0,0,0,24.73,0.25,0,24.98,0,24.73,0.25,0,24.98
2/2/2026,2021,20221289,46981,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,ARKANSAS,61.721,1.36,1.297,0,64.378,1.774,0.983,0,61.619,0,0,,,,,61.721,1.36,1.297,0,64.378,1.774,0.983,0,61.619,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,61.721,1.36,1.297,0,64.378
2/2/2026,2021,20221289,46981,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,ILLINOIS,557.124,55.892,23.272,0,636.288,38.925,52.107,0.006,545.249,0,0,,,,,557.124,55.892,23.272,0,636.288,38.925,52.107,0.006,545.249,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,557.124,55.892,23.272,0,636.288
