DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTTSMEHCAM1,PARTTSMEHCAM2,PARTTSMETOT,PARTTRRHCAM1,PARTTRRHCAM2,PARTTRRTOT,PARTTQHCAM1,PARTTQHCAM2,PARTTQTOT,PARTTPHCAM1,PARTTPHCAM2,PARTTPTOT,PARTTSBHCAM1,PARTTSBHCAM2,PARTTSBTOT,PARTTOHCAM1,PARTTOHCAM2,PARTTOTOT,PARTTHCAM1TOT,PARTTHCAM2TOT,PARTTRMTTOT,PARTTOTHDESC
2/2/2026,2023,20240523,43711,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,IOWA,0,0,0,0,0,0,0,5.2,5.2,0,0,0,0,0,0,0,0,0,0,5.2,5.2,
2/2/2026,2023,20240523,43711,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,KANSAS,0,0,0,0,0,0,0,0.867,0.867,0,0,0,0,0,0,0,0,0,0,0.867,0.867,
2/2/2026,2023,20240523,43711,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,KENTUCKY,0,0,0,0,0,0,0,1.775,1.775,0,0,0,0,0,0,0,0,0,0,1.775,1.775,
2/2/2026,2023,20240523,43711,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,LOUISIANA,0,0,0,0,0,0,0,11.823,11.823,0,0,0,0,0,0,0,0,0,0,11.823,11.823,
2/2/2026,2023,20240523,43711,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,MICHIGAN,0,0,0,0,0,0,0,90.452,90.452,0,0,0,0,0,0,0,0,0,0,90.452,90.452,
2/2/2026,2023,20240523,43711,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,MISSISSIPPI,0,0,0,0,0,0,0,13.298,13.298,0,0,0,0,0,0,0,0,0,0,13.298,13.298,
2/2/2026,2023,20240523,43711,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,MISSOURI,0,0,0,0,0,0,0,2.52,2.52,0,0,0,0,0,0,0,0,0,0,2.52,2.52,
2/2/2026,2023,20240523,43711,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,NEBRASKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2/2/2026,2023,20240523,43711,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,OHIO,0,0,0,0,0,0,0,24.945,24.945,0,0,0,0,0,0,0,0,0,0,24.945,24.945,
2/2/2026,2023,20240523,43711,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,OKLAHOMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2/2/2026,2023,20240523,43711,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,TENNESSEE,0,0,0,0,0,0,0,3.766,3.766,0,0,0,0,0,0,0,0,0,0,3.766,3.766,
2/2/2026,2023,20240523,43711,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2/2/2026,2023,20240523,43711,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,WISCONSIN,0,0,0,0,0,0,0,138.067,138.067,0,0,0,0,0,0,0,0,0,0,138.067,138.067,
2/2/2026,2023,20240523,43711,405,ANR PIPELINE CO,Natural Gas,INTRASTATE,MICHIGAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2/2/2026,2023,20240817,44017,473,"WESTERN MIDSTREAM PARTNERS, LP",Natural Gas,INTERSTATE,NEW MEXICO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2/2/2026,2023,20240817,44017,473,"WESTERN MIDSTREAM PARTNERS, LP",Natural Gas,INTERSTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2/2/2026,2023,20240817,44017,473,"WESTERN MIDSTREAM PARTNERS, LP",Natural Gas,INTERSTATE,WYOMING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2/2/2026,2023,20240817,44017,473,"WESTERN MIDSTREAM PARTNERS, LP",Natural Gas,INTRASTATE,COLORADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2/2/2026,2023,20240817,44017,473,"WESTERN MIDSTREAM PARTNERS, LP",Natural Gas,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2/2/2026,2023,20240817,44017,473,"WESTERN MIDSTREAM PARTNERS, LP",Natural Gas,INTRASTATE,UTAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2/2/2026,2023,20240817,44017,473,"WESTERN MIDSTREAM PARTNERS, LP",Natural Gas,INTRASTATE,WYOMING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2/2/2026,2023,20241148,44360,515,DAKOTA GASIFICATION COMPANY,Synthetic Gas,INTRASTATE,NORTH DAKOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2/2/2026,2023,20240428,43615,570,FERNDALE PIPELINE SYSTEM,Natural Gas,INTRASTATE,WASHINGTON,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,
2/2/2026,2023,20240382,43568,585,ARGYLE MUNICIPAL GAS SYSTEM,Natural Gas,INTRASTATE,MINNESOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
