DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTHON4LESS,PARTHON6,PARTHON8,PARTHON10,PARTHON12,PARTHON14,PARTHON16,PARTHON18,PARTHON20,PARTHON22,PARTHON24,PARTHON26,PARTHON28,PARTHON30,PARTHON32,PARTHON34,PARTHON36,PARTHON38,PARTHON40,PARTHON42,PARTHON44,PARTHON46,PARTHON48,PARTHON52,PARTHON56,PARTHON58OVER,PARTHON_OTHER_PIPE_DETAIL,PARTHON_OTHER_PIPE_MILE_TOTAL,PARTHONTOTAL,PARTHOFF4LESS,PARTHOFF6,PARTHOFF8,PARTHOFF10,PARTHOFF12,PARTHOFF14,PARTHOFF16,PARTHOFF18,PARTHOFF20,PARTHOFF22,PARTHOFF24,PARTHOFF26,PARTHOFF28,PARTHOFF30,PARTHOFF32,PARTHOFF34,PARTHOFF36,PARTHOFF38,PARTHOFF40,PARTHOFF42,PARTHOFF44,PARTHOFF46,PARTHOFF48,PARTHOFF52,PARTHOFF56,PARTHOFF58OVER,PARTHOFF_OTHER_PIPE_DETAIL,PARTHOFF_OTHER_PIPE_MILE_TOTAL,PARTHOFFTOTAL
2/2/2026,2024,20251282,46762,3,ACADIAN GAS PIPELINE SYSTEM,Natural Gas,INTRASTATE,LOUISIANA,57.346,43.294,155.256,32.916,107.267,81.33,279.765,2.632,225.157,11.604,57.525,0,0,85.632,0,0,111.281,0,0,143.359,0,0,0,0,0,0,,,1394.364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
2/2/2026,2024,20250879,45931,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,LOUISIANA,5.7,5.5,16.01,19.91,98.83,36.52,0.67,160.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,343.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
2/2/2026,2024,20250879,45931,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,TEXAS,8.11,17.94,46.05,21.29,7.03,67.62,10.33,22.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,201.13,0,0,0,0,0,0,22.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,22.08
2/2/2026,2024,20250879,45931,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,CALIFORNIA,2.85,5.711,6.89,7.3,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
2/2/2026,2024,20250879,45931,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,OHIO,1.954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
2/2/2026,2024,20250879,45931,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,TEXAS,4.2,10.12,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,16.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
2/2/2026,2024,20250764,45810,117,AIR PRODUCTS & CHEMICALS INC,Natural Gas,INTRASTATE,TEXAS,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
2/2/2026,2024,20250772,45820,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Carbon Monoxide,INTRASTATE,TEXAS,5.43,0.02,18.67,57.08,8.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,89.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
2/2/2026,2024,20250768,45814,117,AIR PRODUCTS & CHEMICALS INC,Synthetic Gas,INTRASTATE,TEXAS,0,10.42,0.08,11.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,22.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
2/2/2026,2024,20251356,46443,180,SPIRE ALABAMA INC.,Natural Gas,INTRASTATE,ALABAMA,3.881,17.029,27.789,19.24,72.854,11.89,61.601,0,7.828,0,0.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,222.216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
2/2/2026,2024,20251164,46780,189,"BBT ALATENN, LLC",Natural Gas,INTERSTATE,ALABAMA,14,33.37,46.27,52.66,73.97,0,11.87,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,233.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
